Would you ask Mary to call me back, please?	.e'o ko cpedu fi la .maris. fe lo nu jalge fonjo'e mi	
Please, let me explain.	.e'o ko curmi lo nu mi ciksi	G
Please give me three of each kind.	ro se klesi be ta zo'u ko mi dunda be ci klesi be ri	B
May I have a glass of water?	.e'o ko dunda fi mi fe lo blacykabri be loi djacu	G−?
Please, give me something to eat.	.e'o dunda su'o cidja mi	B
I ask that you forgive me.	.e'o ko mi fraxu	A
Turn on the light, please.	.e'o ko gasnu lo nu co'a gusni	G
Could you show me the way to the bus stop?	.e'o do jungau mi lo du'u ma kau pluta lo sorpeka tcana	A
Will you show me your passport, please?	.e'o gau do mi viska lo do jaspu	B+
Please show your ticket.	.e'o ko jarco tu'a lo pikta be do	G−
Please give the baby a bath.	.e'o ko jirlu'i lo cifnu	G
Mind the gap.	ko capyju'i lo kevna	B−
Would you please take my picture?	.e'o ko kacmyterxra fi mi	G
Could you take this, please?	.e'o .ai pei do ti lebna	G
Please let me off at the next stop.	.e'o mi cliva bu'u lo klasti tcana poi se lidne	NG
Please speak slowly.	.e'o ko masno tavla	G
Please keep it a secret.	.e'o ko mipri	G
Please don't tell anyone.	.e'o ko na jungau	G−
Please read the text below.	.e'o do tcidu fi lo vlamei poi cnita	A
Please don't tell anyone where I am.	.e'o ko no da jungau lo du'u mi zvati ma kau	G
Please pass me the salt.	.e'o do dunda lo silna mi	A
Please sing a song.	.e'o ko sanga su'o da	A
Can you help me, please?	.e'o ko sidju	G
Please don't hesitate to call.	.e'o ko tavla mi xe cu'u lo fonxa	A
Please read that book.	.e'o do tcidu fi lo vi cukta	G−
Please have a seat here.	.e'o ko ti zutse	G
Could you give me back my valuables?	.e'o do mi xrudu'a be lo kargu se ponse be mi	G−N
Please pass me the salt.	.e'o ko ve pagre fi mi lo silna	G−
Please attend my birthday party.	.e'o ko vitke fi lo mi jbedetnunsla	G
Please speak more slowly.	.e'o do zenba lo ka masno lo ka bacru	?
Can I join you?	.e'a pei mi do kansa	G
Take me to your leader.	.e'o ko mi gidva lo ka klama lo do jatna	A
I'm going to rest, OK?	.e'o mi surla	
Let me see it.	.e'o mi viska	G
Here, have some candy.	.e'u do citka su'o lo vi titspi	G−
Two adult tickets, please.	.e'o re makcu pikta cu co'e	G
Let me know if I need to make any changes.	.e'o ro da zo'u mi nitcu lo ka zukte da .i na ja do mi jungau lo du'u go'i	G
Can you give me a minute?	.i'a pei da'i do denpa ze'i pa mentu	B+
If you see a mistake, then please correct it.	.e'o va'o lo nu do ganse lo selsre kei ko cikre	G−
Could you put it in plain language?	.e'o do smusku la'e di'u se pi'o lo sampu bangu	NA
Just a minute.	.e'o ze'i denpa	G
Could you please repeat it slowly?	.e'o do masno lo ka za'u re'u bacru ta	B−
Let thy understanding enter into the things that are doing and the things which do them.	.e'u curmi lo nu do jimpe fi da poi tarti .e de poi te tarti fi da	?
Please write it down.	.e'u do ciska de'u	G?
You have Jim to thank for your failure.	.e'u do ckire xo'o la .djim. lo ka gau ce'u do fliba	G
Don't worry. She doesn't understand German.	ko na xanka .i lo bandu'e'u ta na bangu	A
Please feel free to use my dictionary.	.e'a sai do pilno lo mi vlacku	G−
I suggest you rest for a while.	.e'u do ze'a surla	G
Let's make our own language so no one will know what we're talking about!	.e'e mi'o finti su'o bangu pe mi'o .i te zu'e bo no drata cu smujmi lo se cusku be mi'o	A
If there is anything you want, don't hesitate to ask me.	ko'oi ro da zo'u go do da djica gi do tu'a da mi cpedu	B−
I think we should reduce the price.	pe'i mi'o .iancu lo ka gau ce'u jdika lo ka kargu	G−
Let's go by bus.	.e'u klama fu lo basfa	GD
Let's go by bus.	.e'u klama fu lo sorprekarce	G
Please press the left mouse button to continue.	.e'u do catke lo zunle batke pe lo pevysmacu ja'e lo bavla'i ve pruce	A
Please make yourself comfortable.	.e'o do gasnu lo sarcu be lo nu do kufra	A?
Please throw me the ball.	.e'u ko renro lo bolci mi	G
Please say hello to your family.	.e'u ko rinsa lo do lanzu	G−
Please delete this sentence.	.e'u ko vimcu dei	G
The children should go outside and play.	.e'u loi verba cu barkla je kelci	G
Let's have a try.	.e'u ma'a troci	G
Let me explain it with a diagram.	.e'u mi ciksi se pi'o lo cartu	G−
Let me see what we can do.	.e'u mi lanli facki fi lo se kakne be mi'o	G−
Let's go to Shinjuku tomorrow morning.	.e'u mi'o klama la .cinjukus. ca lo bavlamdei cerni	G
Let's drop by his house.	.e'u mi'o klama lo ra zdani	?
Let's consider the worst that could happen.	.e'u mi'o pensi lo xlarai be lo cumki	G
Let's party!	.e'u mi'o salci	A?
You better not open your mouth.	.e'u nai do kargau lo moklu	G
You had better not drive a car.	xlali fa lo nu do pu sazri su'o karce	B−
I think you'd better take an umbrella in case it rains.	.e'u mu'i lo nu ka'e carvi ku do bevri su'o santa	A
Why don't we ask for his advice?	.e'u selstidi ko'a	GN
Let's go drink a cup of coffee at that coffee shop over there.	ko'oi mi'o bu'u lo va ckafi zarci cu pinxe su'o ckafi	AEN
Please stay for 5 more minutes.	.e'o ze'a lo mentu be li mu do na cliva	B−
Forget it. It's not worth it.	ko tolmo'i .i na .inda	B
Don't do anything he asks.	.e'u nai do zukte ro se cpedu be ta	B
I advise you not to borrow money from your friends.	.e'u nai do jbera su'o jdini lo pendo be do	B
Be careful, don't remove the cap. It's arsenic!	ko capyju'i gi'e na vimcu lo gacri .i ba'e .arseni	BN
Don't let them fool you.	.e'u nai ta do tcica	B
Don't repeat that word in God's house.	.e'u nai re'e do cusku lo ta valsi ne'i lo malsi	B
You really should get this agreement down in writing.	.e'u sai gau do su'o da se ciska notci lo ta nu zuktu'i	G−
Let's speak Vabungula and Yuelami!	.e'u sai mi'o tavla fo la'o .xy. va bungula .xy. je la'o .xy. .y .ue la mi .xy.	EG
I need to get my oboe repaired.	.ei cikre lo mi xagri	G
What should a person feel to buy something?	.ei dai lo prenu ma cinmo se va'o lo nu ri te vecnu	?
You have to be prepared for anything.	.ei do bredi ro da	G+
You must go home at once.	.ei do ca ba'e ti klama lo do zdani	G−
You ought to be ashamed.	.ei do ckeji	G+
You should be ashamed of your conduct.	.ei do ckeji lo se tarti be do	G+?
You ought to know.	.ei do djuno	G+
You ought to decide whether or not you want to go.	.ei do jdice lo du'u xu kau do djica lo nu klama	G
You must be careful not to make him angry.	.ei do jundi te zu'e lo nu na ku gau do ra fengu	GN
You should take care of your sick mother.	.ei do kurji lo do bilma mamta	G
You must look after the child.	.ei do kurji lo verba	G
You should have told me the truth.	.ei do mi pu smusku be lo jetnu	G−
You must not tell a lie.	.ei do na jifsku su'o da	A
You shouldn't have done such a thing.	.ei do pu na zukte su'o simsa	G
You should have listened to me.	.ei do pu tinju'i mi	G
You should help Tom.	.ei do sidju la .tom.	G+
You should help Alice.	.ei do sidju la .alis.	G+
You should help Mary.	.ei do sidju la .maris.	G+
You should be true to your friends.	.ei do stace lo do pendo	G+
You must keep your room clean.	.ei do stogau lo do kumfa lo ka jinsa	G
You must try somewhere else.	.ei do troci bu'u su'o drata	G−
You must try somewhere else.	.ei do troci lo nu co'e bu'u lo drata	A
You should be sorry.	.ei do xenru	G
You should pay more attention to what you say.	.ei do zenba lo ka jundi lo se cusku be do	B−
You must perform your duty.	.ei do zukte lo se bilga be do	G
You are to stay here.	.ei do stali ti	G
The flower garden needs watering.	.ei dunda lo djacu lo xrula purdi	G−
I can't let them leave before the watch is fixed.	.ei ko'a na cliva pu lo nu ba'o cikre lo junla	G−
The president ought to be ashamed.	.ei lo jatna cu ckeji	G−
My computer has got to be useful for something.	.ei lo mi skami su'o da plixau	G
A man should be upright, not kept upright.	.ei lo prenu cu madystace gi'e nai madystace bai	GN
Children should obey their parents.	.ei lo verba ku tinbe fi lo vo'a rirni	G−
It needs washing.	nitcu lo ka se lumci	G−
We should leave.	.ei ma'a cliva	G
We must go.	.ei ma'a klama	G
We must provide for our old age.	.ei ma'a kurji loi me ma'a laldo	?
I have to prepare for the test.	.ei mi bregau mi lo cipra	G−
I should go back to work now.	.ei mi ca di'a gunka	G
I have to go to bed.	.ei mi ckakla	G
Gotta go now, bye!	.ei mi cliva co'o	G
I should go now. Bye!	.ei mi cliva co'o	G
I had to work.	su'o da zo'u mi pu nitcu lo ka gunka da	B−
I have to go to the police station.	.ei mi klama lo pulji tcana	G
I should go home.	.ei mi klama lo zdani	G
I can't permit this.	.ei mi na curmi ti	G−
Where should I pay?	.ei mi pleji bu'u ma	B
I had to try.	mi pu nitcu lo ka troci	B−
I have to water the flowers.	.ei mi sabji lo djacu lo xrula	G
I must buy new skis.	.ei mi terve'u lo cnino skiji	G
We must go.	.ei mi'a klama	G
We have to be prepared for anything.	.ei mi'o bredi ro da	G
We need to chat soon.	.ei ma'a ba zi casnu	G−
You don't have to make an apology.	na sarcu fa lo nu do faxycpe	G
You don't have to feel threatened.	.ei nai do capcni	GN
The only thing you need to do is go there.	do nitcu lo po'o ka klama ta	A
I have to win.	.ai sai mi jinga	GE
You should buy her a gift card instead.	do .iancu lo ka se ba'i terve'u se va'u ra pa vamveile'ikarda	B
It's not necessary to come tomorrow.	.ei nai klama ca lo bavlamdei	A
I wish she were alive now.	.au ta jmive ca ti	B−
I hope you will be completely cured.	.i .a'o do di'a mulno kanro	G−
Under the conditions of y'all not being able to fight in lojban, please don't fight.	.i .e'o va'o lo nu ro do na kakne lo ka damba bau la .lojban. na damba fa ko	B−
Please stand at the stairs. This is a prerequisit for me to defend you.	.i .e'o do sanli bu'u lo serti .i lo nu go'i cu sarcu lo nu mi do bandu	B
Hey, could you tell a story about it tomorrow? I'm very interested, and I hope you can.	.i .e'o do te lisri tu'a ko'a ca lo bavlamdei .a'u sai .ui .a'o se'i nai ro'i	G−
Would you mind not doing that?	.i .e'o do zukte na ku ta	G
Write down your name with a pencil, please.	.i .e'o ko ciska lo cmene be do fo lo pinsi	G
Please open the window.	.i .e'o ko kargau lo canko	G
You should have kept it secret.	do pu .iancu lo ka mipri ta	B−
It is necessary for you to see a doctor at once.	.ei do co'a ti muvdu su'o mikce	G−
I have to go to bed.	.ei mi klama lo ckana	A
Stupid brain! Why is saying 'galxe' so very difficult with a sore throat?	.oi ro'e ki'u ma pau nai lo nu bacru zo galxe nandu mutce va'o lo nu galxe bilma	A
You mind if I join you?	.i .oi pei da'i mi do kansa	G
Broadly construed, it's, uh, slightly useful.	do'a .y so'u va'e lo ka plixau	A
To be precise, I go, because I am forced to.	.i ba'u cu'i mi bai cliva	G−
Now, it so happens that I'm afraid of flying.	.i bi'u ge'e ri'e mi terpa lo'e nu mi klama fu lo ka se marce lo vinji	G
There is a cat five meters from the tree.	.i bu'u lo tricu va lo mitre be li mu cu mlatu	G
She's now straightening up her room.	.i ca sipku'a nicygau	G
In the event of rain, the game will not be held.	.i carvi na ja nai kelci	G
I bowed politely.	mi pu clite krosa'i	G−
They looked relieved.	.i co'urdu'u za'a	G
This sentence wouldn't be funny if not for irony.	.i da'i dei na'e xajmi se ja'e da'i lo nu na'e ranxi	?
If I had had enough money, I would have bought the bag.	.i da'i mi va'o lo nu mi ponse rau jdima cu pu te vecnu lo dakli	?
This isn't news.	.i de'u na nuzba	G
I'll be right back. Wow, I'm reading, knowing something about Loglan.	.i mi ba zi di'a jundi .i .u'e mi ca'o tcidu gi'e fau bo djuno su'o da la .loglan.	B
She knows that John loved her.	.i djuno lo du'u la .djan. pu prami vo'a	G
You will soon cease to think of her.	.i do ba zi sisti lo ka pensi tu'a ko'a	G
Your being obliged to wear pants doesn't logically follow from the state of your being a man.	.i do bilga lo nu pilno lo palku kei ni'i nai lo za'i do nanmu	G
You hit me, which results in my pain.	.i do darxi mi se ri'a lo za'i mi cortu	G
You play Starcraft really well.	do mutce lo ka certu lo ka kelci la .starkraft.	G−P
You're really not stupid.	.i do na bebna	A
You enter, with the key word being a requirement.	.i do nenri sau tu'a lo ckiku valsi	G
Why do you ask?	.i do retsku mu'i ma	G
I love you.	.i do se prami mi	G
What are you talking about?!	do tavla fi ma .ua nai	A
Hey, Zgana, how old are you?	doi la zgana ma do jbetei	B−
While standing up, I say that the eating is over.	.i fau lo nu mi sanli binxo kei mi cusku lo se du'u mo'u citka	G
There is only love and happiness in Scatland. Hatred and resentment? Well that's unheard of. It's unheard of.	.i fa po'o lo ka prami jo'u lo ka gleki cu se cinmo bu'u la .skatland. .i lo ka xebni jo'u lo ka tolckire zo'u mo pau dai .i nu'o ti'erna su'o srana .i nu'o ti'erna	A
In addition to being a doctor, he is a writer.	.i ge mikce gi ji'a tercku	G−N
Above all, the translation exercises at the end of each chapter are.	go'i fa ra'u sai lo ro nunfanva crecipra prosa poi jai fanmo tu'a su'o ckupau	B
They worked like bees.	.i gunka fi'o pe'a simsa lo bifce	G−
Alice might have been there yesterday, but we didn't see her.	.i .ie la .alis. zvati da'i ca lo prulamdei .i je ku'i mi'a na viska .a bu	G−
The phenomenon of interest is in itself, a most interesting subject.	lo'e nu cinri cu mutce lo ka cinri	B−
Regardless of this, I am not able to sleep.	.i to'e ki'u nai ku mi na snada lo ka sipna	B+
Wrong.	.i jitfa	G
You can search words, and get translations. But it's not exactly a typical dictionary.	ka'e valsi sisku ja'e lo nu cpacu lo xe fanva .i ku'i na mulno lo ka lomkai lo ka vlacku	AE
She may have to quit her job next month.	ta ka'e bai co'u se jibri ca lo bavla'ima'i	AN
Almost all men hate something, but I am very good at being patient.	.i ka'u so'a remna su'o da xebni .i ku'i mi mutce lo ka deptsa	G−
As earlier mentioned, I was afraid.	.i ke'u mi pu terpa	G-
Furthermore, in order to defeat Ganon, Link mends the eight scattered fragments of the triforce of wisdom, in order to have the magic triangle.	.i ke'u nai te zu'e lo nu jinga fi la .ganyn. kei la .link. cu cikre loi bi zvavrici spisa be lo cibmakfa pe lo ka prije ku te zu'e lo nu plika'e lo makfa cibjgatai	BPN
Why do you say goodbye?	.i ki'u ma do cusku zo co'o	G
Why is your French so good?	.i ki'u ma do tai stati tu'a lo fasybau	A
Come on, wake up.	.i .e'e ko cikna	G-
Let's eat now. I'm starving.	.i ko joi mi ca citka .i mi xagji sai	G−
Remember me to your parents.	.i ko jungau lo do rirni lo du'u mi rinsa	?
Don't come to me now with that. You should have said something when it originally happened.	.i ko mi tavla zo'e na ku ca ku .i ca ba'e ri do .iancu lo ka cusku su'o da	AE
Ignore Tom.	.i ko na jundi la .tom.	G+
Ignore Alice.	.i ko na jundi la .alis.	G+
Ignore Mary.	.i ko na jundi la .maris.	G+
Ask me a question.	ko su'o da mi retsku	A
Select action for Chris.	ko cu'uxna su'o da fo lo ka se zukte la .kris.	G−N
She was tired, but she kept working.	ko'a pu ku tatpi gi'e ku'i stodi lo ka gunka	G−
But where are we?	.i ku'i mi'o zvati ma	G
Plato dies, which follows logically because he is human.	.i la .platon. cu mrobi'o ni'i lo du'u .py. remna	G−
Tom doesn't know either Mary or her sister.	la .tom. na se slabu la .maris. .a lo mensi be ri	B+
Alice doesn't know either Mary or her sister.	la .alis. na se slabu la .maris. .a lo mensi be ri	B+
Mary doesn't know either Mary or her sister.	la .maris. na se slabu la .maris. .a lo mensi be ri	B+
Tom did what I told him to do.	.i la .tam. pu tinbe fi mi	G-
Alice did what I told him to do.	.i la .alis. pu tinbe fi mi	G-
Mary did what I told him to do.	.i la .maris. pu tinbe fi mi	G-
